time_start,time_end,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot,motion,movement
1750874743.2231205,7502.459917046,0.32074686884880066,-43.07475662231445,67.27481842041016,1.26570725440979,-43.47756576538086,69.4181900024414,-1.072875738143921,-44.66817855834961,71.52234649658203,1.1704586744308472,-42.659786224365234,68.42545318603516,Stop,Stepping
1750874743.2331142,7502.471545638,0.2543795108795166,-43.00590133666992,67.1552963256836,1.2610094547271729,-43.39287185668945,69.20670318603516,-1.0769656896591187,-44.53404235839844,71.22410583496094,1.170080304145813,-42.61040496826172,68.25587463378906,Stop,Stepping
1750874743.2431176,7502.497158713,0.18981678783893585,-42.93864059448242,67.03851318359375,1.256447196006775,-43.310028076171875,69.00012969970703,-1.0809370279312134,-44.40280532836914,70.93255615234375,1.1697114706039429,-42.5620231628418,68.09028625488281,Stop,Stepping
1750874743.2531445,7502.49925548,0.12681707739830017,-42.87275695800781,66.92405700683594,1.2519986629486084,-43.228759765625,68.7977523803711,-1.0848037004470825,-44.27402114868164,70.6467056274414,1.1693536043167114,-42.51448440551758,67.92809295654297,Stop,Stepping
1750874743.2631197,7502.501337407,0.06587942689657211,-42.80878829956055,66.8128890991211,1.247701644897461,-43.14975357055664,68.60126495361328,-1.0885343551635742,-44.148765563964844,70.36891174316406,1.1690069437026978,-42.46818923950195,67.77063751220703,Stop,Stepping
1750874743.2731316,7502.510214928,0.006541742477566004,-42.746253967285156,66.70418548583984,1.2435201406478882,-43.07242965698242,68.40918731689453,-1.0921604633331299,-44.02613067626953,70.0971450805664,1.1686692237854004,-42.42280960083008,67.61677551269531,Stop,Stepping
1750874743.2831068,7502.518701183,-0.050927117466926575,-42.68547821044922,66.5984878540039,1.2394758462905884,-42.99715805053711,68.22247314453125,-1.0956642627716064,-43.90673828125,69.832763671875,1.1683448553085327,-42.37858963012695,67.46725463867188,Stop,Stepping
1750874743.2931113,7502.528765549,-0.1067882627248764,-42.6262092590332,66.49536895751953,1.235548734664917,-42.92366409301758,68.04034423828125,-1.099063515663147,-43.79009246826172,69.57466125488281,1.1680269241333008,-42.335330963134766,67.32140350341797,Stop,Stepping
1750874743.3031156,7502.539933157,-0.16091248393058777,-42.568565368652344,66.39505004882812,1.231746792793274,-42.852115631103516,67.86323547363281,-1.1023523807525635,-43.67649459838867,69.323486328125,1.1677175760269165,-42.29316711425781,67.17963409423828,Stop,Stepping
1750874743.3131409,7502.550255743,-0.213517427444458,-42.51237106323242,66.2972183227539,1.2280559539794922,-42.782264709472656,67.69053649902344,-1.1055418252944946,-43.565555572509766,69.07835388183594,1.1674190759658813,-42.25194549560547,67.04138946533203,Stop,Stepping
1750874743.323137,7502.558418215,-0.2641431987285614,-42.458106994628906,66.20272064208984,1.224505066871643,-42.7147331237793,67.52375030517578,-1.1086056232452393,-43.45826721191406,68.84146118164062,1.1671329736709595,-42.21204376220703,66.90794372558594,Stop,Stepping
1750874743.333103,7502.580324568,-0.31307199597358704,-42.40550231933594,66.11107635498047,1.221076488494873,-42.649192810058594,67.3620376586914,-1.1115612983703613,-43.354103088378906,68.61160278320312,1.1668552160263062,-42.173282623291016,66.77857208251953,Stop,Stepping
1750874743.3431444,7502.582386398,-0.36072057485580444,-42.3541145324707,66.02153778076172,1.2177441120147705,-42.58510971069336,67.20408630371094,-1.1144349575042725,-43.25221252441406,68.38690948486328,1.166586995124817,-42.13533020019531,66.6522216796875,Stop,Stepping
1750874743.3531303,7502.608384766,-0.40649574995040894,-42.30460739135742,65.93524169921875,1.2145423889160156,-42.523284912109375,67.05184173583984,-1.1171908378601074,-43.15388488769531,68.17021179199219,1.166326880455017,-42.09868240356445,66.53048706054688,Stop,Stepping
1750874743.3731427,7502.641901404,-0.4931831359863281,-42.21045684814453,65.77106475830078,1.2084847688674927,-42.40555953979492,66.76231384277344,-1.1223983764648438,-42.966522216796875,67.75762939453125,1.1658364534378052,-42.028785705566406,66.2990493774414,Stop,Stepping
1750874743.3831215,7502.643266858,-0.5340340733528137,-42.16592025756836,65.693359375,1.2056347131729126,-42.34976577758789,66.62529754638672,-1.1248453855514526,-42.877685546875,67.56217956542969,1.1656038761138916,-41.995601654052734,66.18953704833984,Stop,Stepping
1750874743.4032023,7502.644122305,-0.6113716959953308,-42.08127212524414,65.5456314086914,1.2002441883087158,-42.24361038208008,66.36488342285156,-1.1294736862182617,-42.708560943603516,67.19035339355469,1.165165662765503,-41.93238830566406,65.98147583007812,Stop,Stepping
