timestamp,mocap_gx,mocap_gy,mocap_gz,kalman_offset_gx,kalman_offset_gy,kalman_offset_gz,madgwick_offset_gx,madgwick_offset_gy,madgwick_offset_gz
59.488669,-0.198131,-0.064358,-9.807788,-0.155208,0.136344,-9.807824,-0.077911,0.160184,-9.808383
59.490942,-0.198131,-0.064358,-9.807788,-0.155178,0.136398,-9.807824,-0.075573,0.160967,-9.808388
59.493215,-0.198131,-0.064358,-9.807788,-0.155147,0.136451,-9.807824,-0.085168,0.156889,-9.808376
59.495488,-0.198131,-0.064358,-9.807788,-0.155117,0.136503,-9.807824,-0.083072,0.158348,-9.808370
59.497761,-0.198053,-0.064627,-9.807788,-0.155088,0.136555,-9.807823,-0.080812,0.159378,-9.808372
59.500034,-0.198053,-0.064627,-9.807788,-0.155058,0.136606,-9.807823,-0.078458,0.160101,-9.808380
59.502307,-0.198053,-0.064627,-9.807788,-0.155019,0.136593,-9.807824,-0.079297,0.153302,-9.808482
59.504580,-0.198053,-0.064627,-9.807788,-0.155085,0.136571,-9.807823,-0.089517,0.153693,-9.808387
59.506853,-0.199885,-0.062066,-9.807767,-0.155150,0.136549,-9.807823,-0.086981,0.153292,-9.808417
59.509126,-0.199885,-0.062066,-9.807767,-0.155215,0.136527,-9.807822,-0.084673,0.154070,-9.808425
59.511399,-0.199885,-0.062066,-9.807767,-0.155279,0.136505,-9.807821,-0.082225,0.154273,-9.808442
59.513672,-0.199885,-0.062066,-9.807767,-0.155342,0.136484,-9.807820,-0.092605,0.153259,-9.808366
59.515945,-0.198460,-0.063655,-9.807786,-0.155404,0.136462,-9.807820,-0.090078,0.152948,-9.808394
59.518218,-0.198460,-0.063655,-9.807786,-0.155466,0.136442,-9.807819,-0.087643,0.153212,-9.808412
59.520491,-0.198460,-0.063655,-9.807786,-0.155511,0.136487,-9.807818,-0.088012,0.157654,-9.808338
59.522764,-0.198465,-0.064083,-9.807783,-0.155557,0.136533,-9.807816,-0.085961,0.159312,-9.808330
59.525037,-0.198465,-0.064083,-9.807783,-0.155601,0.136578,-9.807815,-0.083408,0.159297,-9.808352
59.527310,-0.198519,-0.063714,-9.807784,-0.155645,0.136622,-9.807814,-0.089025,0.164500,-9.808217
59.529583,-0.198519,-0.063714,-9.807784,-0.155600,0.136615,-9.807814,-0.087557,0.159746,-9.808308
59.531856,-0.198519,-0.063714,-9.807784,-0.155555,0.136609,-9.807815,-0.085332,0.156415,-9.808382
59.534129,-0.198519,-0.063714,-9.807784,-0.155510,0.136602,-9.807816,-0.082724,0.154659,-9.808432
59.536402,-0.198519,-0.063714,-9.807784,-0.155466,0.136596,-9.807817,-0.080110,0.154311,-9.808459
59.538675,-0.198519,-0.063714,-9.807784,-0.155422,0.136655,-9.807817,-0.080452,0.158763,-9.808385
59.540948,-0.198238,-0.064238,-9.807786,-0.155378,0.136713,-9.807817,-0.078342,0.160353,-9.808376
59.543221,-0.198348,-0.064330,-9.807784,-0.155334,0.136771,-9.807817,-0.075757,0.160296,-9.808398
59.545494,-0.198348,-0.064330,-9.807784,-0.155291,0.136828,-9.807816,-0.083384,0.164521,-9.808266
