timestamp,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,gravity_x,gravity_y,gravity_z
1785345169.082119,0.002023,-0.001111,-0.004432,-0.052213,0.006747,-0.018355,0.858626,0.628184,-9.752141
1785345169.099171,-0.006039,0.005535,-0.009458,0.174041,0.073791,-0.006868,0.864563,0.610876,-9.752716
1785345169.099297,0.006063,-0.005243,0.008873,-0.166526,-0.063453,0.006890,0.859578,0.627383,-9.752108
1785345169.112163,-0.001152,-0.000542,-0.000070,-0.005219,-0.010359,0.002426,0.858620,0.627938,-9.752157
1785345169.126062,0.001138,0.000378,-0.000511,0.006108,0.003767,-0.003009,0.858927,0.627347,-9.752168
1785345169.126197,-0.001917,0.001699,0.004886,0.044736,-0.006836,0.018763,0.858059,0.622893,-9.752530
1785345169.136774,0.002152,-0.001466,-0.003748,-0.041753,0.010333,-0.018820,0.859246,0.627035,-9.752160
1785345169.139367,-0.001738,0.001571,0.004336,0.040907,-0.015702,0.021053,0.857554,0.622992,-9.752568
1785345169.149660,0.002207,-0.001317,-0.005682,-0.043556,0.016827,-0.016204,0.859401,0.627240,-9.752133
1785345169.165630,-0.000478,-0.000141,0.000081,-0.002785,-0.002702,-0.001188,0.859151,0.627539,-9.752136
1785345169.179988,-0.001653,0.001739,0.004786,0.042442,-0.008927,0.017619,0.858088,0.623332,-9.752499
1785345169.180285,0.001985,-0.001733,-0.002862,-0.030748,0.004304,-0.017723,0.858620,0.626439,-9.752253
1785345169.188550,-0.000307,0.000836,-0.001040,-0.015453,-0.001335,0.001443,0.858604,0.627933,-9.752159
1785345169.191454,-0.000158,-0.000042,0.000835,0.001581,0.003986,0.003672,0.859002,0.627719,-9.752137
1785345169.208550,0.000339,-0.000498,0.000843,0.015150,-0.002145,-0.004035,0.858666,0.626302,-9.752258
1785345169.215228,-0.000693,0.000708,-0.001179,-0.012592,0.000326,0.002282,0.858798,0.627499,-9.752170
1785345169.215319,0.000445,-0.000099,-0.001496,0.007830,0.008573,-0.002022,0.859566,0.626700,-9.752153
1785345169.228336,0.000501,0.000637,0.000817,-0.008759,-0.007012,0.002464,0.858958,0.627575,-9.752151
1785345169.238912,-0.001719,0.000545,0.003751,0.049158,-0.006652,0.017584,0.858071,0.622701,-9.752541
1785345169.239019,-0.000409,0.000190,-0.000258,-0.000732,-0.003879,0.000025,0.857699,0.622799,-9.752568
1785345169.249178,0.001816,-0.000886,-0.002925,-0.046303,0.012322,-0.013127,0.859143,0.627317,-9.752151
1785345169.260601,-0.000106,-0.000361,-0.000152,0.003568,0.002424,-0.003957,0.859332,0.626990,-9.752155
1785345169.280037,-0.002090,0.001895,0.003960,0.040553,-0.016548,0.019136,0.857550,0.623004,-9.752568
1785345169.288195,0.002162,-0.001153,-0.004147,-0.043826,0.011438,-0.013935,0.858886,0.627295,-9.752175
1785345169.288288,-0.001235,0.001082,0.005081,0.043586,-0.007299,0.014656,0.857958,0.622992,-9.752532
1785345169.289665,-0.000100,0.000137,-0.000707,-0.002981,-0.000843,0.001933,0.857907,0.623270,-9.752519
1785345169.305090,-0.004754,0.004871,-0.014943,0.116592,0.077325,-0.023432,0.864497,0.611652,-9.752673
1785345169.305219,0.006466,-0.005640,0.009464,-0.161607,-0.070687,0.006203,0.858768,0.627738,-9.752157
1785345169.320317,0.000286,-0.000140,0.000964,0.002261,0.000162,-0.000830,0.858764,0.627525,-9.752171
1785345169.331840,-0.002026,0.001300,0.004725,0.040889,-0.011683,0.018047,0.857446,0.623483,-9.752546
1785345169.331975,0.000234,-0.000565,0.000404,0.006401,0.005413,0.000861,0.857934,0.622818,-9.752546
1785345169.344851,0.000070,0.000467,0.000408,-0.005646,-0.003588,0.000280,0.857625,0.623387,-9.752536
1785345169.357638,0.000070,0.000467,0.000408,-0.005646,-0.003588,0.000280,0.858923,0.626460,-9.752225
1785345169.369120,-0.002286,0.000676,0.001869,0.037777,-0.007752,0.019012,0.858015,0.622683,-9.752547
1785345169.369235,0.002033,-0.000810,-0.005137,-0.030415,0.013111,-0.018977,0.859394,0.625709,-9.752232
1785345169.379087,-0.000913,0.000183,0.000855,-0.014287,-0.006762,0.002794,0.858850,0.627115,-9.752190
1785345169.385465,0.000447,0.000056,0.000906,-0.005597,-0.004151,-0.001607,0.858475,0.627700,-9.752185
1785345169.400551,-0.001141,-0.000551,0.000212,0.001738,0.002313,0.001516,0.858697,0.627502,-9.752178
1785345169.407043,0.001069,0.000721,-0.000849,0.013077,0.012076,-0.001738,0.859772,0.626168,-9.752169
1785345169.407145,0.000454,0.000148,0.000955,-0.011758,-0.014137,0.003940,0.858500,0.627369,-9.752204
1785345169.420007,-0.000337,0.000065,-0.001207,0.005512,0.004862,-0.000758,0.858931,0.626808,-9.752202
1785345169.428759,-0.003249,0.002573,-0.005544,0.068092,0.033777,-0.003992,0.861726,0.620015,-9.752390
1785345169.433100,0.002112,-0.001375,0.010668,-0.030927,-0.043422,0.019794,0.857824,0.623133,-9.752535
1785345169.447038,0.001866,-0.001274,-0.004432,-0.035786,0.015491,-0.016671,0.859484,0.626642,-9.752164
1785345169.447168,-0.001633,0.001071,0.005309,0.032556,-0.017855,0.016235,0.857613,0.623466,-9.752533
1785345169.465458,0.001597,-0.001161,-0.004785,-0.043828,0.007542,-0.012792,0.858577,0.627774,-9.752171
1785345169.465591,-0.007082,0.006470,-0.010827,0.153437,0.071362,-0.006554,0.864425,0.612477,-9.752627
1785345169.483922,0.004949,-0.004845,0.014300,-0.104234,-0.074690,0.021984,0.857997,0.622891,-9.752535
1785345169.484052,0.002692,-0.001428,-0.003458,-0.033989,0.011069,-0.017548,0.859209,0.626265,-9.752213
1785345169.499613,-0.000578,0.006160,0.012515,0.100999,-0.040970,0.046254,0.854786,0.616349,-9.753233
1785345169.499746,-0.001058,-0.004616,-0.008554,-0.069593,0.030015,-0.026266,0.858038,0.623120,-9.752517
1785345169.524155,-0.005270,0.005013,-0.014572,0.104372,0.078319,-0.019497,0.864832,0.612645,-9.752581
1785345169.524298,-0.000325,0.000003,-0.000059,0.004339,-0.002018,-0.001504,0.864598,0.612252,-9.752626
1785345169.524356,0.007009,-0.006559,0.010796,-0.152556,-0.071632,0.004951,0.858705,0.627478,-9.752179
1785345169.537376,-0.008561,0.007202,-0.006322,0.187906,0.066082,0.012195,0.863908,0.608711,-9.752909
1785345169.547463,0.001576,0.004548,0.006984,0.079927,-0.009487,0.026155,0.862576,0.600798,-9.753518
1785345169.547582,-0.000902,-0.004317,-0.007538,-0.074517,0.012341,-0.024523,0.864157,0.608153,-9.752922
1785345169.565339,0.001458,0.004969,0.007503,0.080181,-0.010890,0.025224,0.862682,0.600233,-9.753543
1785345169.565466,0.000846,-0.005922,-0.010681,-0.124239,0.011707,-0.044838,0.864432,0.612592,-9.752620
1785345169.578504,0.004786,-0.004526,0.014402,-0.103442,-0.072181,0.024561,0.858257,0.622888,-9.752513
1785345169.597597,0.004786,-0.004526,0.014402,-0.103442,-0.072181,0.024561,0.858684,0.627596,-9.752173
1785345169.597738,0.001381,-0.001427,-0.004593,-0.047231,0.001999,-0.016340,0.857824,0.622865,-9.752552
1785345169.599609,-0.001501,0.001005,0.004315,0.047338,-0.006723,0.021323,0.858901,0.626432,-9.752229
1785345169.615761,-0.000374,-0.000471,-0.001011,-0.011204,-0.001881,0.000065,0.858795,0.627529,-9.752168
1785345169.615913,-0.000822,0.006406,0.012179,0.114240,-0.030663,0.044992,0.855278,0.616270,-9.753195
1785345169.637886,-0.000721,-0.005263,-0.007649,-0.073029,0.021849,-0.027176,0.857754,0.623439,-9.752522
1785345169.638229,0.002132,-0.000763,-0.004886,-0.039160,0.009605,-0.015652,0.858869,0.627306,-9.752176
1785345169.638576,-0.001425,0.006288,0.012251,0.106853,-0.036518,0.045849,0.854839,0.616796,-9.753200
1785345169.653330,0.001030,-0.006835,-0.012694,-0.106575,0.036398,-0.044839,0.858861,0.627272,-9.752179
1785345169.663670,-0.000084,-0.000158,0.001931,-0.002324,-0.001329,-0.000199,0.858746,0.627508,-9.752174
1785345169.670728,-0.001157,0.001032,0.003879,0.045639,-0.003135,0.017088,0.858224,0.622955,-9.752511
1785345169.671327,0.001254,-0.000728,-0.004169,-0.042825,0.006822,-0.015170,0.859096,0.627193,-9.752163
1785345169.685835,-0.001300,0.001482,0.003098,0.034303,-0.017315,0.015813,0.857265,0.623847,-9.752539
1785345169.702142,0.002363,-0.000732,-0.003310,-0.021697,0.016023,-0.015661,0.858885,0.625979,-9.752260
1785345169.702265,0.000305,-0.000901,-0.001368,-0.015553,-0.001807,-0.001216,0.858809,0.627509,-9.752168
1785345169.712649,-0.009159,0.007316,-0.006093,0.196519,0.066838,0.013505,0.864035,0.607891,-9.752949
1785345169.714540,0.009201,-0.007597,0.008176,-0.194112,-0.066353,-0.010686,0.858852,0.627246,-9.752181
1785345169.727306,-0.001556,0.001398,0.004245,0.042491,-0.006161,0.015659,0.858048,0.623032,-9.752522
1785345169.739047,-0.000129,-0.000238,-0.001166,0.003351,-0.000827,0.001584,0.857954,0.622699,-9.752552
1785345169.753491,0.002199,-0.000925,-0.004519,-0.037685,0.006192,-0.017159,0.858719,0.626461,-9.752243
1785345169.753590,-0.002599,0.001360,0.003618,0.032098,-0.009569,0.019172,0.857675,0.623245,-9.752541
1785345169.762867,0.000573,-0.000598,-0.000521,-0.000375,-0.000257,-0.002149,0.857640,0.623303,-9.752541
1785345169.765077,0.000297,-0.000500,0.001691,-0.001328,0.000107,-0.001798,0.857650,0.623447,-9.752530
1785345169.775230,0.000031,0.000760,-0.000482,0.003095,0.003128,0.003137,0.857950,0.623097,-9.752526
1785345169.789162,0.002100,-0.001333,-0.003870,-0.042847,0.008454,-0.014473,0.858986,0.627320,-9.752165
1785345169.796486,-0.001584,0.001139,0.004544,0.039004,-0.010402,0.016869,0.857801,0.623462,-9.752516
1785345169.797385,0.000844,0.005235,0.007689,0.074644,-0.027763,0.026466,0.854735,0.616184,-9.753248
1785345169.808082,0.000428,-0.005972,-0.012122,-0.117461,0.035038,-0.043431,0.858706,0.627712,-9.752164
