time_start,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot
1751050437.2796361,-0.0,-0.416666716337204,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.833333432674408,0.833333432674408,-0.0,0.833333432674408
1751050437.2896197,-0.0,-1.666666865348816,0.20833343267440796,-0.0,-0.0,-0.0,0.0,0.0,1.2500001192092896,0.0,-0.0,-1.0416667461395264
1751050437.2996235,-0.0,-1.041666865348816,-0.6250000596046448,-0.0,-0.208333358168602,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1751050437.3097563,-0.0,-2.500000238418579,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.20833343267440796,0.0,-0.0,0.20833343267440796
1751050437.3196177,-0.0,-1.666666865348816,0.0,-0.0,-0.0,-0.208333358168602,0.0,0.0,0.833333432674408,-0.416666716337204,-0.0,-0.833333432674408
1751050437.329627,-0.0,-2.0833334922790527,-0.20833343267440796,-0.0,-0.0,-0.0,0.0,0.208333358168602,0.0,0.0,-0.0,0.6250000596046448
1751050437.3396227,-0.0,-2.500000238418579,0.6250001192092896,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1751050437.3495543,-0.0,-1.041666865348816,-0.6250000596046448,-0.0,-0.0,-0.0,0.0,0.0,0.833333432674408,0.0,-0.0,-0.6250001192092896
1751050437.359621,-0.0,-1.875000238418579,0.0,0.208333358168602,-0.0,-0.0,0.0,0.0,-1.4583334922790527,0.0,-0.0,1.875000238418579
1751050437.3696184,-0.0,-1.041666865348816,0.833333432674408,-0.0,-0.0,-0.0,0.0,0.0,0.6250000596046448,0.0,-0.0,-1.666666865348816
1751050437.3796291,-0.0,-1.041666865348816,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1751050437.3896105,-0.0,-1.666666865348816,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.41666677594184875,0.0,-0.0,0.41666677594184875
1751050437.3995285,-0.0,-1.4583334922790527,0.41666677594184875,-0.0,-0.0,-0.0,0.0,0.0,1.4583334922790527,0.0,-0.0,-1.0416667461395264
1751050437.4096076,-0.0,-0.4166668653488159,-1.0416667461395264,-0.0,-0.0,-0.0,0.0,0.0,-1.4583334922790527,0.0,-0.0,2.0833334922790527
1751050437.419617,-0.0,-0.8333335518836975,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1751050437.429614,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.20833353698253632,0.0,-0.0,-0.41666677594184875
1751050437.439635,-0.0,0.0,-0.20833343267440796,-0.0,-0.0,-0.0,0.0,0.0,-0.8333335518836975,0.0,-0.0,1.0416667461395264
1751050437.4496238,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.4583334922790527,0.0,-0.0,-1.666666865348816
1751050437.45953,-0.0,0.0,0.0,-0.0,0.416666716337204,-0.0,0.0,0.0,-1.4583334922790527,0.0,-0.0,-0.0
1751050437.4696236,-0.0,0.0,-0.20833338797092438,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.41666677594184875
1751050437.479617,-0.0,-0.208333358168602,0.416666716337204,-0.0,-0.0,-0.0,0.0,0.0,0.41666677594184875,0.0,-0.0,-1.4583334922790527
1751050437.4895854,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.0416667461395264,0.0,-0.0,1.4583333730697632
1751050437.4996226,-0.0,0.0,-0.416666716337204,-0.0,-0.0,-0.0,0.0,0.0,1.666666865348816,0.0,-0.0,-0.0
1751050437.5095432,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.6250000596046448,0.0,-0.0,-0.20833353698253632
1751050437.519624,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.20833343267440796,0.0,-0.0,1.2500001192092896
1751050437.5298352,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.6250002384185791,0.0,-0.0,-0.0
1751050437.53973,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.4583334922790527,0.0,-0.0,-0.0
1751050437.549622,-0.0,0.0,0.416666716337204,-0.0,-0.0,-0.0,0.0,0.0,1.0416667461395264,0.0,-0.0,1.2500001192092896
1751050437.5596287,-0.0,0.208333358168602,-0.6250001192092896,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.416666716337204
1751050437.569622,-0.0,0.0,0.6250000596046448,-0.0,-0.0,-0.0,0.0,0.0,-0.20833343267440796,0.0,-0.0,-0.0
1751050437.579612,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0416667461395264,0.0,-0.0,0.6250001192092896
1751050437.5896194,-0.0,0.0,0.0,-0.0,0.208333358168602,-0.0,0.0,0.0,-1.666666865348816,0.0,-0.0,-1.0416667461395264
