timestamp,gravity_x,gravity_y,gravity_z,qw,qx,qy,qz
1785874574.288800,1.095770,0.374434,-9.741416,-0.523145,-0.037631,-0.045602,0.850190
1785874574.297329,1.096700,0.379400,-9.741119,-0.523217,-0.037534,-0.045847,0.850137
1785874574.305666,1.097194,0.378843,-9.741085,-0.523215,-0.037571,-0.045836,0.850138
1785874574.315334,1.096813,0.379985,-9.741084,-0.523220,-0.037523,-0.045875,0.850134
1785874574.322385,1.096892,0.379613,-9.741089,-0.523219,-0.037537,-0.045861,0.850135
1785874574.330649,1.096076,0.380480,-9.741147,-0.523220,-0.037478,-0.045877,0.850136
1785874574.341369,1.096508,0.379798,-9.741125,-0.523220,-0.037515,-0.045859,0.850135
1785874574.348347,1.096633,0.380203,-9.741096,-0.523221,-0.037510,-0.045880,0.850134
1785874574.356583,1.096581,0.380288,-9.741098,-0.523221,-0.037505,-0.045882,0.850134
1785874574.362891,1.097160,0.378749,-9.741093,-0.523216,-0.037572,-0.045831,0.850137
1785874574.370296,1.096878,0.379994,-9.741076,-0.523221,-0.037526,-0.045878,0.850133
1785874574.380719,1.096503,0.380557,-9.741096,-0.523213,-0.037495,-0.045892,0.850139
1785874574.388009,1.096575,0.379639,-9.741124,-0.523211,-0.037523,-0.045853,0.850141
1785874574.397462,1.096476,0.380571,-9.741099,-0.523228,-0.037493,-0.045892,0.850130
1785874574.406920,1.096711,0.380255,-9.741085,-0.523220,-0.037512,-0.045884,0.850135
1785874574.413850,1.096433,0.380355,-9.741112,-0.523214,-0.037497,-0.045881,0.850139
1785874574.423701,1.096296,0.379940,-9.741144,-0.523219,-0.037502,-0.045859,0.850137
1785874574.430781,1.096948,0.380078,-9.741065,-0.523219,-0.037527,-0.045883,0.850134
1785874574.439897,1.096713,0.379633,-9.741109,-0.523208,-0.037529,-0.045857,0.850142
1785874574.448702,1.096687,0.379525,-9.741116,-0.523216,-0.037530,-0.045852,0.850138
1785874574.456525,1.096707,0.380135,-9.741090,-0.523224,-0.037515,-0.045879,0.850132
1785874574.465131,1.096331,0.380443,-9.741120,-0.523220,-0.037490,-0.045882,0.850136
1785874574.473582,1.096559,0.379960,-9.741113,-0.523223,-0.037513,-0.045868,0.850133
1785874574.482117,1.096872,0.380192,-9.741069,-0.523220,-0.037520,-0.045886,0.850134
1785874574.489633,1.096914,0.379481,-9.741092,-0.523213,-0.037542,-0.045856,0.850139
1785874574.497315,1.096692,0.379720,-9.741108,-0.523212,-0.037526,-0.045860,0.850140
1785874574.505651,1.096322,0.380313,-9.741126,-0.523225,-0.037493,-0.045877,0.850132
1785874574.514119,1.096544,0.379874,-9.741118,-0.523225,-0.037514,-0.045863,0.850132
1785874574.522650,1.096322,0.380142,-9.741133,-0.523221,-0.037498,-0.045869,0.850135
1785874574.531567,1.096754,0.379690,-9.741102,-0.523221,-0.037529,-0.045861,0.850134
1785874574.539167,1.096775,0.379824,-9.741094,-0.523219,-0.037526,-0.045867,0.850135
1785874574.547296,1.096462,0.380386,-9.741108,-0.523219,-0.037497,-0.045883,0.850136
1785874574.555846,1.096895,0.379576,-9.741090,-0.523218,-0.037538,-0.045860,0.850136
1785874574.565780,1.096953,0.379461,-9.741088,-0.523225,-0.037543,-0.045857,0.850131
